id;Type of study;Gender;Age;Study Year;Finance;Housing;Sport;Age of first glass;Age drunk for the first time;have you ever drink alcool;Which kind of alcool do you drink most often;Frequency;When you drink, how many glasses;how often;when: family events;when:students party;when:bar-disco;when:home;when:sport or culture events;when:outside(beach, etc…);withwho:Alone;withwho:friends;withwho:family;why:fun pleasure;why:todo like everybody;why:for the effects;why:to get confidence;why:because i need it;due to alcool: Have you ever forgotten a part of your party;due to alcool: fallen, vomit, ethylic coma ;due to alcool: have non-protected sexual intercourse;due to alcool: being harrassed or stolen;due to alcool: have a car accident;after having drink: drive a car;due to alcool:been admitted to an ER;Do you agree: One cannot get drunk with cider;Do you agree: Drinking Champagne is safe;Do you agree: No danger in being drunk once a week;Do you agree: we have more fun without alcool;Study level;Frequency of being drunk;Frequency Alcool consumption;origin
1;Foreign languages;Male;20;2;Good;Colocation;No;9;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
2;Foreign languages;Female;18;1;Good;Appartement seul;No;14;17;Yes;Biere;2 a 3 fois par semaine;3;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;ne se proNoce pas;ne se proNoce pas;Licence;15 days or +;2/week or +;France hors Bretagne
3;Foreign languages;Female;21;2;Good;Domicile parental;No;10;15;Yes;Biere;1 fois par month or moins;1;1 fois par month or moins;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Licence;once a month or -;4/month or -;Bretagne
4;Foreign languages;Male;18;1;Good;Cite Universitaire;No;14;15;Yes;Biere;2 a 3 fois par semaine;3;2 a 4 fois par mois;Yes;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;Licence;15 days or +;2/week or +;Bretagne
5;Foreign languages;Female;19;1;Good;Appartement seul;No;16;16;Yes;Vin;1 fois par month or moins;0;Jamais;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Licence;once a month or -;4/month or -;Bretagne
6;Foreign languages;Female;21;2;Good;Domicile parental;Yes;13;15;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;Yes;No;No;No;Yes;Yes;Licence;once a month or -;4/month or -;Bretagne
7;Foreign languages;Female;20;1;Good;Domicile parental;No;15;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;2;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
8;Foreign languages;Female;19;3;Good;Appartement seul;Yes;14;14;Yes;Biere;2 a 4 fois par mois;3;1 fois par month or moins;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
9;Foreign languages;Female;18;1;Good;Domicile parental;No;15;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;Licence;once a month or -;4/month or -;Bretagne
10;Sport;Male;23;2;Good;Domicile parental;Yes;13;15;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;1;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
11;Foreign languages;Female;20;2;Average;Appartement en couple;No;8;13;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;1;1 fois par month or moins;No;No;Yes;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;Licence;once a month or -;4/month or -;Bretagne
12;Foreign languages;Male;18;1;Average;Cite Universitaire;No;12;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;France hors Bretagne
13;Social Sciences;Female;19;2;Good;Domicile parental;No;15;16;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
14;Social Sciences;Female;19;2;Average;Colocation;Yes;14;15;Yes;Biere;2 a 4 fois par mois;5;1 fois par month or moins;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
