Date;Week;O;T
1/7/07; 1   ;1867,78;3084,78
1/14/07; 2   ;3939,07;3577,56
1/21/07; 3   ;4050,90;3314,77
1/28/07; 4   ;2478,32;3138,09
2/4/07; 5   ;3875,63;4008,91
2/11/07; 6   ;3207,49;3543,88
2/18/07; 7   ;3467,80;3467,17
2/25/07; 8   ;3312,00;3323,86
3/4/07; 9   ;2253,93;3641,92
3/11/07; 10   ;2641,07;3132,00
3/18/07; 11   ;4247,88;3197,04
3/25/07; 12   ;2706,31;3739,46
4/1/07; 13   ;4347,00;4007,13
4/8/07; 14   ;2883,63;3225,66
4/15/07; 15   ;4212,27;4659,78
4/22/07; 16   ;3369,69;3107,67
4/29/07; 17   ;2580,12;2994,33
5/6/07; 18   ;2472,87;2735,99
5/13/07; 19   ;2181,36;2734,22
5/20/07; 20   ;3470,02;2506,29
5/27/07; 21   ;2764,55;3246,85
6/3/07; 22   ;3126,54;2298,65
6/10/07; 23   ;2574,32;2586,10
6/17/07; 24   ;3010,18;3759,67
6/24/07; 25   ;3825,97;3449,73
7/1/07; 26   ;3111,22;2794,12
7/8/07; 27   ;2615,69;3458,57
7/15/07; 28   ;3215,42;2603,46
7/22/07; 29   ;2519,35;3659,65
7/29/07; 30   ;2331,91;2889,26
8/5/07; 31   ;1678,94;2834,94
8/12/07; 32   ;1941,42;4315,99
8/19/07; 33   ;7216,22;3777,48
8/26/07; 34   ;5089,16;3727,90
9/2/07; 35   ;3658,08;4883,87
9/9/07; 36   ;3459,73;5080,58
9/16/07; 37   ;7073,23;3354,47
9/23/07; 38   ;2259,00;4196,10
9/30/07; 39   ;4876,54;3721,99
10/7/07; 40   ;3707,07;4811,77
10/14/07; 41   ;6294,12;4797,77
10/21/07; 42   ;8850,37;5748,40
10/28/07; 43   ;6087,46;5498,27
11/4/07; 44   ;6336,72;3950,39
11/11/07; 45   ;5565,05;4653,12
11/18/07; 46   ;4380,56;5306,53
11/25/07; 47   ;5308,98;5299,63
12/2/07; 48   ;3490,33;4263,55
12/9/07; 49   ;4345,35;3351,22
12/16/07; 50   ;5000,32;4201,84
12/23/07; 51   ;5960,69;4063,07
12/30/07; 52   ;3151,67;3378,89
1/6/08; 53   ;3768,19;3235,38
1/13/08; 54   ;4752,63;5499,93
1/20/08; 55   ;4596,48;4001,15
1/27/08; 56   ;4485,86;4197,42
2/3/08; 57   ;4572,96;4617,94
2/10/08; 58   ;4706,05;5194,75
2/17/08; 59   ;4797,52;4077,12
2/24/08; 60   ;4812,20;4541,13
3/2/08; 61   ;4794,74;3841,63
3/9/08; 62   ;4874,80;3836,50
3/16/08; 63   ;4343,08;4425,31
3/23/08; 64   ;3891,93;2779,81
3/30/08; 65   ;4986,94;3766,81
4/6/08; 66   ;5024,54;3795,61
4/13/08; 67   ;4455,62;4100,65
4/20/08; 68   ;4721,81;4562,40
4/27/08; 69   ;3639,89;3523,13
5/4/08; 70   ;5458,11;6010,42
5/11/08; 71   ;3226,39;3463,39
5/18/08; 72   ;5277,10;4098,81
5/25/08; 73   ;3580,99;3794,32
6/1/08; 74   ;3822,70;3617,09
6/8/08; 75   ;4281,88;3327,00
6/15/08; 76   ;4219,18;3263,52
6/22/08; 77   ;3709,77;3416,67
6/29/08; 78   ;2876,23;3434,66
7/6/08; 79   ;3445,97;2998,99
7/13/08; 80   ;3237,39;3068,69
7/20/08; 81   ;3089,09;2600,20
7/27/08; 82   ;3410,41;3623,01
8/3/08; 83   ;3198,46;3420,53
8/10/08; 84   ;2927,56;3907,62
8/17/08; 85   ;4616,39;3718,95
8/24/08; 86   ;4254,14;4099,32
8/31/08; 87   ;3869,48;6013,20
9/7/08; 88   ;3891,90;5447,70
9/14/08; 89   ;4907,48;6481,42
9/21/08; 90   ;4950,74;5532,96
9/28/08; 91   ;5510,33;5796,36
10/5/08; 92   ;6350,14;5610,71
10/12/08; 93   ;5933,72;6154,89
10/19/08; 94   ;6050,19;5640,06
10/26/08; 95   ;5701,40;6133,19
11/2/08; 96   ;5221,61;5409,21
11/9/08; 97   ;7157,49;5958,08
11/16/08; 98   ;7119,21;5927,33
11/23/08; 99   ;6167,86;5237,31
11/30/08; 100   ;7619,14;6643,43
12/7/08; 101   ;7808,86;6970,69
12/14/08; 102   ;6263,42;5392,07
12/21/08; 103   ;7459,46;5621,51
12/28/08; 104   ;5323,80;4289,35
1/4/09; 105   ;4748,17;4900,47
1/11/09; 106   ;7558,97;6364,88
1/18/09; 107   ;6271,17;4720,19
1/25/09; 108   ;5766,08;5094,30
2/1/09; 109   ;5269,48;4357,41
2/8/09; 110   ;6275,12;5654,80
2/15/09; 111   ;7309,69;5183,10
2/22/09; 112   ;7583,35;5420,05
3/1/09; 113   ;5564,97;4236,05
3/8/09; 114   ;5417,19;5010,47
3/15/09; 115   ;6764,26;4782,12
3/22/09; 116   ;6136,75;4856,33
3/29/09; 117   ;6373,91;5708,77
4/5/09; 118   ;5984,49;4427,19
4/12/09; 119   ;4999,57;3986,46
4/19/09; 120   ;3987,70;4246,82
4/26/09; 121   ;5498,06;3333,93
5/3/09; 122   ;4641,84;4092,59
5/10/09; 123   ;6390,37;5824,96
5/17/09; 124   ;6764,95;4287,15
5/24/09; 125   ;4380,54;3831,25
5/31/09; 126   ;4571,27;4333,33
6/7/09; 127   ;4196,76;4139,09
6/14/09; 128   ;5491,05;3999,57
6/21/09; 129   ;4202,94;3887,63
6/28/09; 130   ;5893,40;4101,77
7/5/09; 131   ;4558,59;4499,12
7/12/09; 132   ;4206,00;4113,20
7/19/09; 133   ;3571,63;3981,89
7/26/09; 134   ;4219,89;3371,01
8/2/09; 135   ;4746,58;4394,58
8/9/09; 136   ;3448,56;4210,12
8/16/09; 137   ;3630,36;4146,59
8/23/09; 138   ;4010,11;5193,80
8/30/09; 139   ;4691,03;4924,46
9/6/09; 140   ;6273,98;5944,59
9/13/09; 141   ;5340,45;6243,16
9/20/09; 142   ;7107,54;6846,49
9/27/09; 143   ;5853,43;5824,27
10/4/09; 144   ;6546,11;6784,37
10/11/09; 145   ;6741,24;6037,45
10/18/09; 146   ;7047,63;7122,25
10/25/09; 147   ;8684,58;6529,00
11/1/09; 148   ;7029,35;6491,24
11/8/09; 149   ;8401,20;6880,09
11/15/09; 150   ;8126,70;6376,46
11/22/09; 151   ;10722,68;6545,74
11/29/09; 152   ;7870,49;6055,05
12/6/09; 153   ;8043,99;6325,28
12/13/09; 154   ;8776,43;6555,36
12/20/09; 155   ;7377,75;6465,40
12/27/09; 156   ;7382,83;5233,70
1/3/10; 157   ;5317,42;4468,17
1/10/10; 158   ;8148,62;6845,85
1/17/10; 159   ;7554,08;5604,15
1/24/10; 160   ;7851,44;5510,20
1/31/10; 161   ;7715,46;4700,82
2/7/10; 162   ;6964,83;5673,47
2/14/10; 163   ;6368,13;4446,41
2/21/10; 164   ;7272,40;5726,95
2/28/10; 165   ;6375,75;4428,66
3/7/10; 166   ;6402,80;5659,70
3/14/10; 167   ;7982,09;5949,73
3/21/10; 168   ;7697,70;5437,19
3/28/10; 169   ;6758,75;4048,28
4/4/10; 170   ;7587,76;4391,79
4/11/10; 171   ;7617,39;5428,73
4/18/10; 172   ;7124,47;4542,11
4/25/10; 173   ;7198,17;3962,35
5/2/10; 174   ;6061,50;4427,97
5/9/10; 175   ;6951,25;6588,84
5/16/10; 176   ;6337,92;4814,43
5/23/10; 177   ;8351,53;6176,89
5/30/10; 178   ;6650,68;4158,67
6/6/10; 179   ;7737,69;4612,34
6/13/10; 180   ;6848,78;4348,90
6/20/10; 181   ;6618,78;4649,36
6/27/10; 182   ;8706,08;4885,04
7/4/10; 183   ;6310,79;5316,26
7/11/10; 184   ;6554,22;5288,53
7/18/10; 185   ;4618,46;4446,75
7/25/10; 186   ;4900,14;4032,31
8/1/10; 187   ;6981,04;4678,64
8/8/10; 188   ;5541,18;4795,96
8/15/10; 189   ;7554,94;5724,66
8/22/10; 190   ;8233,98;5706,65
8/29/10; 191   ;8290,19;7415,36
9/5/10; 192   ;9759,65;7173,45
9/12/10; 193   ;8894,09;7103,00
9/19/10; 194   ;11326,75;9114,82
9/26/10; 195   ;12651,84;7363,82
10/3/10; 196   ;9725,75;7663,15
10/10/10; 197   ;9568,90;7583,78
10/17/10; 198   ;10010,94;7215,67
10/24/10; 199   ;16143,31;7763,80
10/31/10; 200   ;11098,24;8297,91
11/7/10; 201   ;11698,23;8960,63
11/14/10; 202   ;9393,89;8483,35
11/21/10; 203   ;11254,78;7829,86
11/28/10; 204   ;13061,91;7080,86
12/5/10; 205   ;12931,03;7984,00
12/12/10; 206   ;12228,04;8229,90
12/19/10; 207   ;10865,63;6769,73
12/26/10; 208   ;7908,02;5693,58
1/2/11; 209   ;10309,70;5808,98
1/9/11; 210   ;11282,77;8232,25
1/16/11; 211   ;10693,49;6808,08
1/23/11; 212   ;9862,41;6773,48
1/30/11; 213   ;11667,97;7300,19
2/6/11; 214   ;12931,09;8693,48
2/13/11; 215   ;11295,51;8271,17
2/20/11; 216   ;11681,31;6813,76
2/27/11; 217   ;9854,42;6391,48
3/6/11; 218   ;10334,46;7681,24
3/13/11; 219   ;10779,69;7576,97
3/20/11; 220   ;10413,85;6956,40
3/27/11; 221   ;8723,85;5954,72
4/3/11; 222   ;12207,72;7566,53
4/10/11; 223   ;10496,77;5910,71
4/17/11; 224   ;9027,71;5694,66
4/24/11; 225   ;8820,70;5573,40
5/1/11; 226   ;6148,61;5468,47
5/8/11; 227   ;9045,00;4882,18
5/15/11; 228   ;7901,40;5861,33
5/22/11; 229   ;10525,51;6316,00
5/29/11; 230   ;7302,50;5050,54
6/5/11; 231   ;6688,64;5497,71
6/12/11; 232   ;7579,52;5789,94
6/19/11; 233   ;8858,24;6045,00
6/26/11; 234   ;9289,24;6518,67
7/3/11; 235   ;9130,43;5576,71
7/10/11; 236   ;8157,21;5357,74
7/17/11; 237   ;6396,65;4966,36
7/24/11; 238   ;7447,57;5755,99
7/31/11; 239   ;9450,38;6273,55
8/7/11; 240   ;8372,39;6881,94
8/14/11; 241   ;7689,63;5976,71
8/21/11; 242   ;9174,10;7739,05
8/28/11; 243   ;9773,69;6686,27
9/4/11; 244   ;10213,33;8023,14
9/11/11; 245   ;10812,63;7766,89
9/18/11; 246   ;12088,67;8331,15
9/25/11; 247   ;14223,37;10723,10
10/2/11; 248   ;14871,15;10127,27
10/9/11; 249   ;14738,25;9190,00
10/16/11; 250   ;13404,34;8204,18
10/23/11; 251   ;14784,98;9469,27
10/30/11; 252   ;15750,91;9576,02
11/6/11; 253   ;15660,50;10748,81
11/13/11; 254   ;14796,20;9959,78
11/20/11; 255   ;17288,62;10872,36
11/27/11; 256   ;19258,04;11092,35
12/4/11; 257   ;17255,55;9745,72
12/11/11; 258   ;20167,97;11841,14
12/18/11; 259   ;18683,61;10249,77
12/25/11; 260   ;18483,92;9426,87
1/1/12; 261   ;13614,60;7667,93
1/8/12; 262   ;17032,35;10286,91
1/15/12; 263   ;18786,42;10647,49
1/22/12; 264   ;24505,26;11669,65
1/29/12; 265   ;15942,47;10716,81
2/5/12; 266   ;18849,38;10372,36
2/12/12; 267   ;23315,18;13600,11
2/19/12; 268   ;18953,93;9774,52
2/26/12; 269   ;14699,02;7719,79
3/4/12; 270   ;15195,60;7653,38
3/11/12; 271   ;14319,55;7305,04
3/18/12; 272   ;15229,62;8321,78
3/25/12; 273   ;14572,83;7484,17
4/1/12; 274   ;12597,71;6649,29
4/8/12; 275   ;14593,56;6694,01
4/15/12; 276   ;12505,02;5154,74
4/22/12; 277   ;14253,79;6421,59
4/29/12; 278   ;15129,72;5548,35
5/6/12; 279   ;12089,61;5494,68
5/13/12; 280   ;13205,25;5915,02
5/20/12; 281   ;12891,41;5536,18
5/27/12; 282   ;13618,85;5358,80
6/3/12; 283   ;11563,57;3691,17
6/10/12; 284   ;11819,06;4701,76
6/17/12; 285   ;13876,96;4147,06
6/24/12; 286   ;13532,18;5154,56
7/1/12; 287   ;15816,54;3988,07
7/8/12; 288   ;14007,10;5210,68
7/15/12; 289   ;11946,26;4427,50
7/22/12; 290   ;13699,30;6537,51
